libssh2 1.8.0-2
libstdc++5 3.3.6-5
libstemmer 0+337-2
libsystemd 232-8
libtar 1.2.20-2
libtasn1 4.10-1
libteam 1.26-1
libtermkey 0.20-1
libthai 0.1.26-1
libtheora 1.1.1-3
libtiff 4.0.7-3
libtiger 0.3.4-4
libtirpc 1.0.1-3
libtommath 1.0-1
libtool 2.4.6-7
libtracker-sparql 1.12.0+1+g922c213a5-2
libtxc_dxtn 1.0.1-6
libunistring 0.9.7-1
libunwind 1.2-1
libupnp 1.6.21-1
libusb 1.0.21-1
libusb-compat 0.1.5-1
libusbmuxd 1.0.10-1
libutempter 1.1.6-2
libutil-linux 2.29.2-2
libuv 1.11.0-1
libva 1.8.1-1
libvdpau 1.1.1-2
libvirt 3.2.0-2
libvisio 0.1.5-4
libvisual 0.4.0-6
libvoikko 4.1-1
libvorbis 1.3.5-1
libvpx 1.6.1-1
libvterm 0.1.git1.c4317a6-2
libwacom 0.24-1
libwbclient 4.5.8-1
libwebp 0.6.0-1
libwmf 0.2.8.4-14
libwnck3 3.20.1-2
libwpd 0.10.1-1
libwpg 0.3.1-1
libwps 0.4.6-1
libx11 1.6.5-1
libx264 2:148.20170121-6
libx264-all 2:148.20170121-6
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-2
libxfce4util 4.12.1-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxfont2 2.0.1-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.7.1-1
libxkbcommon-x11 0.7.1-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.4+16+g07418011-2
libxmu 1.1.2-1
libxp 1.0.3-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.29+42+gac341cbd-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
libytnef 1.9.2-1
libzmf 0.0.1-2
licenses 20140629-2
lightsoff 3.24.0+2+gdf71308-1
linux 4.10.13-1
linux-api-headers 4.10.1-1
linux-firmware 20170309.695f2d6-1
linux-headers 4.10.13-1
linuxconsole 1.6.0-1
llvm 4.0.0-2
llvm-libs 4.0.0-2
lm_sensors 3.4.0-2
log4cxx 0.10.0-4
logisim 2.7.1-7
logrotate 3.12.2-1
lpsolve 5.5.2.5-2
lsb-release 1.4-14
lshw B.02.18-2
lsof 4.89-1
lua 5.3.4-1
lua52 5.2.4-2
lua52-bitop 1.0.2-7
lua52-expat 1.3.0-3
lua52-lpeg 1.0.1-1
lua52-luajson 1.3.3-2
lua52-socket 20160311-1
lvm2 2.02.171-1
lxappearance 0.6.3-1
lxc 1:2.0.8-2
lz4 1:1.7.5-1
lzo 2.10-1
lzop 1.03-5
m17n-db 1.7.0-1
m17n-lib 1.7.0-1
m4 1.4.18-1
make 4.2.1-2
man-db 2.7.6.1-2
man-pages 4.11-1
mc 4.8.19-1
mcpp 2.7.2-5
mdadm 4.0-1
media-player-info 22-2
mercurial 4.2-1
mesa 17.1.0-1
metacity 3.24.1-1
metis 5.1.0.p3-1
mime-types 9-1
minicom 2.7.1-1
minizip 1:1.2.11-1
mjpegtools 2.1.0-3
mkinitcpio 23-1
mkinitcpio-busybox 1.25.1-1
mobile-broadband-provider-info 20170310-1
moka-cinnamon-theme-git 12.079b341-1
mousetweaks 3.12.0-2
mozilla-common 1.4-4
mpfr 3.1.5.p2-1
mpg123 1.23.8-1
msgpack-c 2.1.1-1
mtdev 1.1.5-1
mtools 4.0.18-3
mutter 3.24.2-1
nano 2.8.2-1
nasm 2.13.01-1
nautilus 3.24.1-1
nautilus-sendto 3.8.4+41+gf790d15-1
nautilus-share 0.7.3-7
ncurses 6.0+20170429-1
ncurses5-compat-libs 6.0-4
neon 0.30.2-2
neovim 0.2.0-2
net-tools 1.60.20160710git-1
netcdf 4.4.1-2
netcf 0.2.8-4
netctl 1.12-2
netstat-nat 1.4.10-3
nettle 3.3-1
network-manager-applet 1.8.0-1
networkmanager 1.8.0-1
